country_name,country_iso3,year,indicator_name,indicator_code,value
Nepal,NPL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,38220.000000
Nepal,NPL,1972,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,67.846461
Nepal,NPL,1972,Arable land (% of land area),AG.LND.ARBL.ZS,14.370629
Nepal,NPL,1972,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.158210
Nepal,NPL,1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1972,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1630.100000
Nepal,NPL,1972,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,21.680000
Nepal,NPL,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.165937
Nepal,NPL,1972,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,23.930000
Nepal,NPL,1972,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1972,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,33.420000
Nepal,NPL,1972,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.188811
Nepal,NPL,1972,Rural population (% of total population),SP.RUR.TOTL.ZS,95.802000
Nepal,NPL,1972,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.970407
Nepal,NPL,1972,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.643357
Nepal,NPL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,39530.000000
Nepal,NPL,1973,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,65.332527
Nepal,NPL,1973,Arable land (% of land area),AG.LND.ARBL.ZS,15.139860
Nepal,NPL,1973,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.163086
Nepal,NPL,1973,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1973,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1772.800000
Nepal,NPL,1973,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,24.410000
Nepal,NPL,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.715012
Nepal,NPL,1973,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,26.280000
Nepal,NPL,1973,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1973,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,34.440000
Nepal,NPL,1973,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.195804
Nepal,NPL,1973,Rural population (% of total population),SP.RUR.TOTL.ZS,95.601000
Nepal,NPL,1973,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.968977
Nepal,NPL,1973,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.930070
Nepal,NPL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,39940.000000
Nepal,NPL,1974,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,38.321605
Nepal,NPL,1974,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,68.418177
Nepal,NPL,1974,Arable land (% of land area),AG.LND.ARBL.ZS,15.244755
Nepal,NPL,1974,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.160667
Nepal,NPL,1974,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1974,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1767.600000
Nepal,NPL,1974,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,24.830000
Nepal,NPL,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.823853
Nepal,NPL,1974,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,27.050000
Nepal,NPL,1974,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1974,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,35.630000
Nepal,NPL,1974,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.195804
Nepal,NPL,1974,Rural population (% of total population),SP.RUR.TOTL.ZS,95.390000
Nepal,NPL,1974,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.963605
Nepal,NPL,1974,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.034965
Nepal,NPL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,40090.000000
Nepal,NPL,1975,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,39.781622
Nepal,NPL,1975,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.001166
Nepal,NPL,1975,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,69.006095
Nepal,NPL,1975,Arable land (% of land area),AG.LND.ARBL.ZS,15.349650
Nepal,NPL,1975,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.158247
Nepal,NPL,1975,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1975,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1789.600000
Nepal,NPL,1975,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,25.900000
Nepal,NPL,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.585421
Nepal,NPL,1975,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,28.200000
Nepal,NPL,1975,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1975,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,37.200000
Nepal,NPL,1975,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.195804
Nepal,NPL,1975,Rural population (% of total population),SP.RUR.TOTL.ZS,95.170000
Nepal,NPL,1975,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.972320
Nepal,NPL,1975,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.146853
Nepal,NPL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,40250.000000
Nepal,NPL,1976,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,37.196145
Nepal,NPL,1976,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.025296
Nepal,NPL,1976,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,66.086008
Nepal,NPL,1976,Arable land (% of land area),AG.LND.ARBL.ZS,15.454545
Nepal,NPL,1976,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.155879
Nepal,NPL,1976,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1976,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1709.500000
Nepal,NPL,1976,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,25.070000
Nepal,NPL,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.731674
Nepal,NPL,1976,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,27.800000
Nepal,NPL,1976,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1976,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,38.210000
Nepal,NPL,1976,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.202797
Nepal,NPL,1976,Rural population (% of total population),SP.RUR.TOTL.ZS,94.939000
Nepal,NPL,1976,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.945820
Nepal,NPL,1976,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.251748
Nepal,NPL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,40400.000000
Nepal,NPL,1977,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,45.299283
Nepal,NPL,1977,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.421474
Nepal,NPL,1977,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,60.121529
Nepal,NPL,1977,Arable land (% of land area),AG.LND.ARBL.ZS,15.559441
Nepal,NPL,1977,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.153457
Nepal,NPL,1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1977,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1604.300000
Nepal,NPL,1977,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,24.470000
Nepal,NPL,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.850337
Nepal,NPL,1977,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,27.590000
Nepal,NPL,1977,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1977,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,39.410000
Nepal,NPL,1977,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.202797
Nepal,NPL,1977,Rural population (% of total population),SP.RUR.TOTL.ZS,94.698000
Nepal,NPL,1977,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.988337
Nepal,NPL,1977,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.356643
Nepal,NPL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,40550.000000
Nepal,NPL,1978,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,42.283705
Nepal,NPL,1978,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.163209
Nepal,NPL,1978,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,58.868840
Nepal,NPL,1978,Arable land (% of land area),AG.LND.ARBL.ZS,15.664336
Nepal,NPL,1978,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.150946
Nepal,NPL,1978,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1978,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1634.000000
Nepal,NPL,1978,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,25.400000
Nepal,NPL,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.278125
